index,company,body-style,wheel-base,length,engine-type,num-of-cylinders,horsepower,average-mileage,price
0,alfa-romero,convertible,0.006153846153845804,0.4134328358208958,dohc,four,0.2625,0.23529411764705882,0.2972466960352423
1,alfa-romero,convertible,0.006153846153845804,0.4134328358208958,dohc,four,0.2625,0.23529411764705882,0.3634361233480176
2,alfa-romero,hatchback,0.18769230769230752,0.4492537313432835,ohcv,six,0.44166666666666665,0.17647058823529413,0.3634361233480176
3,audi,sedan,0.3507692307692305,0.5298507462686567,ohc,four,0.225,0.3235294117647059,0.30726872246696035
4,audi,sedan,0.3384615384615385,0.5298507462686567,ohc,five,0.2791666666666667,0.14705882352941177,0.3843612334801762
5,audi,sedan,0.3507692307692305,0.5402985074626868,ohc,five,0.25833333333333336,0.17647058823529413,0.33590308370044053
6,audi,wagon,0.5353846153846151,0.7701492537313432,ohc,five,0.25833333333333336,0.17647058823529413,0.4167400881057269
9,bmw,sedan,0.39384615384615373,0.5328358208955226,ohc,four,0.22083333333333333,0.29411764705882354,0.3618942731277533
10,bmw,sedan,0.39384615384615373,0.5328358208955226,ohc,four,0.22083333333333333,0.29411764705882354,0.3727973568281938
11,bmw,sedan,0.39384615384615373,0.5328358208955226,ohc,six,0.30416666666666664,0.23529411764705882,0.46189427312775333
13,bmw,sedan,0.46461538461538443,0.7149253731343285,ohc,six,0.5583333333333333,0.08823529411764706,0.677533039647577
14,bmw,sedan,0.46461538461538443,0.7865671641791048,ohc,six,0.5583333333333333,0.08823529411764706,0.910022026431718
15,bmw,sedan,0.6646153846153844,0.8343283582089553,ohc,six,0.5583333333333333,0.058823529411764705,0.8123348017621146
16,chevrolet,hatchback,0.0,0.0,l,three,0.0,1.0,0.11345814977973569
17,chevrolet,hatchback,0.18769230769230752,0.22089552238805987,ohc,four,0.09166666666666666,0.7352941176470589,0.13865638766519825
18,chevrolet,sedan,0.18769230769230752,0.26417910447761217,ohc,four,0.09166666666666666,0.7352941176470589,0.1448237885462555
19,dodge,hatchback,0.16307692307692298,0.24179104477611965,ohc,four,0.08333333333333333,0.5294117647058824,0.1404625550660793
20,dodge,hatchback,0.16307692307692298,0.24179104477611965,ohc,four,0.08333333333333333,0.5294117647058824,0.13720264317180617
27,honda,wagon,0.24923076923076906,0.23880597014925373,ohc,four,0.11666666666666667,0.5,0.1606828193832599
